iter	Passed	Remaining
400	33196	49587
401	33251	49464
402	33313	49350
403	33373	49234
404	33429	49111
405	33491	48999
406	33545	48875
407	33613	48772
408	33672	48656
409	33731	48540
410	33789	48424
411	33843	48300
412	33902	48185
413	33956	48064
414	34007	47938
415	34059	47813
416	34113	47692
417	34164	47568
418	34213	47441
419	34265	47319
420	34317	47196
421	34367	47072
422	34421	46952
423	34474	46833
424	34523	46707
425	34574	46586
426	34626	46466
427	34678	46345
428	34729	46224
429	34777	46100
430	34828	45980
431	34887	45870
432	34947	45763
433	34999	45645
434	35054	45530
435	35104	45410
436	35155	45292
437	35203	45169
438	35257	45056
439	35308	44938
440	35361	44823
441	35410	44703
442	35459	44584
443	35511	44469
444	35563	44354
445	35615	44240
446	35667	44125
447	35722	44014
448	35774	43901
449	35826	43788
450	35877	43674
451	35927	43558
452	35976	43442
453	36025	43325
454	36074	43209
455	36124	43095
456	36174	42981
457	36225	42869
458	36275	42755
459	36326	42643
460	36376	42530
461	36424	42416
462	36476	42306
463	36526	42194
464	36579	42086
465	36630	41975
466	36679	41863
467	36728	41751
468	36784	41647
469	36844	41547
470	36899	41443
471	36947	41331
472	36997	41221
473	37050	41115
474	37099	41004
475	37152	40899
476	37201	40789
477	37251	40680
478	37300	40570
479	37350	40462
480	37398	40353
481	37447	40244
482	37493	40132
483	37543	40026
484	37595	39921
485	37642	39811
486	37698	39710
487	37753	39610
488	37804	39504
489	37853	39398
490	37904	39293
491	37951	39185
492	37998	39077
493	38044	38968
494	38091	38861
495	38140	38755
496	38186	38647
497	38236	38543
498	38284	38438
499	38333	38333
500	38379	38226
501	38426	38119
502	38475	38017
503	38521	37910
504	38568	37805
505	38616	37700
506	38665	37597
507	38712	37493
508	38760	37390
509	38810	37288
510	38858	37185
511	38908	37084
512	38956	36981
513	39004	36879
514	39054	36779
515	39104	36679
516	39151	36576
517	39201	36477
518	39250	36376
519	39306	36283
520	39357	36184
521	39407	36085
522	39457	35987
523	39511	35891
524	39562	35794
525	39613	35697
526	39666	35602
527	39712	35500
528	39777	35416
529	39837	35328
530	39894	35236
531	39952	35145
532	40004	35050
533	40054	34953
534	40101	34854
535	40150	34757
536	40199	34659
537	40249	34563
538	40296	34465
539	40342	34365
540	40388	34266
541	40434	34167
542	40480	34069
543	40525	33969
544	40570	33871
545	40614	33771
546	40660	33672
547	40704	33573
548	40749	33475
549	40806	33386
550	40860	33296
551	40914	33205
552	40963	33111
